Time_Step,Z17.5_Concentration,Z2.5_Concentration
0,0.005,0.015
1,0.0,0.0125
2,0.0025,0.0175
3,0.005,0.0225
4,0.0025,0.0175
5,0.0,0.015
6,0.005,0.015
7,0.005,0.03
8,0.0025,0.0225
9,0.0025,0.0225
10,0.0025,0.03
11,0.0025,0.0225
12,0.0025,0.03
13,0.0025,0.015
14,0.0025,0.0275
15,0.0025,0.0325
16,0.005,0.0225
17,0.0025,0.0225
18,0.005,0.0325
19,0.0,0.015
20,0.0,0.03
21,0.0,0.0225
22,0.0025,0.035
23,0.0025,0.0325
24,0.005,0.035
25,0.0,0.0425
26,0.0,0.04
27,0.005,0.025
28,0.005,0.035
29,0.0025,0.04
30,0.0,0.045
31,0.0,0.04
32,0.0,0.0325
33,0.0025,0.035
34,0.0,0.0375
35,0.0025,0.045
36,0.0025,0.0275
37,0.0,0.0275
38,0.0,0.04
39,0.0,0.0275
40,0.0025,0.0275
41,0.005,0.025
42,0.0025,0.04
43,0.005,0.0325
44,0.0075,0.02
45,0.0075,0.0225
46,0.0,0.0275
47,0.0025,0.03
48,0.0075,0.025
49,0.0025,0.0325
50,0.005,0.0475
51,0.0025,0.055
52,0.0025,0.0425
53,0.0075,0.0375
54,0.005,0.0425
55,0.0075,0.0475
56,0.0025,0.045
57,0.0025,0.045
58,0.0075,0.0375
59,0.0025,0.05
60,0.0025,0.045
61,0.0025,0.04
62,0.0075,0.03
63,0.0,0.0475
64,0.0025,0.04
65,0.0075,0.025
66,0.005,0.045
67,0.0025,0.0475
68,0.0025,0.0525
69,0.0,0.0475
70,0.0025,0.045
71,0.0025,0.0375
72,0.005,0.03
73,0.005,0.0425
74,0.005,0.0475
75,0.0075,0.05
76,0.0075,0.035
77,0.0075,0.0275
78,0.0075,0.035
79,0.0025,0.045
80,0.0175,0.055
81,0.0075,0.055
82,0.0075,0.0325
83,0.005,0.0625
84,0.005,0.04
85,0.01,0.0575
86,0.005,0.0525
87,0.005,0.04
88,0.0025,0.0525
89,0.0025,0.04
90,0.0025,0.0425
91,0.0075,0.0525
92,0.01,0.05
93,0.0075,0.0525
94,0.0075,0.0525
95,0.01,0.06
96,0.0075,0.035
97,0.01,0.0575
98,0.015,0.05
99,0.0125,0.0375
100,0.0025,0.0375
101,0.0125,0.05
102,0.0025,0.0425
103,0.005,0.05
104,0.0075,0.055
105,0.005,0.0475
106,0.015,0.0375
107,0.01,0.0375
108,0.01,0.03
109,0.005,0.035
110,0.005,0.05
111,0.005,0.0675
112,0.005,0.0425
113,0.005,0.0325
114,0.0075,0.06
115,0.005,0.04
116,0.0125,0.045
117,0.015,0.04
118,0.005,0.0475
119,0.005,0.0475
120,0.01,0.0625
121,0.0175,0.06
122,0.0075,0.0375
123,0.005,0.0375
124,0.0075,0.055
125,0.005,0.065
126,0.0125,0.0375
127,0.005,0.0475
128,0.01,0.0525
129,0.0075,0.0475
130,0.0075,0.0425
131,0.0025,0.06
132,0.0075,0.0575
133,0.0075,0.0375
134,0.0075,0.0575
135,0.0125,0.0525
136,0.01,0.0575
137,0.0125,0.075
138,0.0075,0.06
139,0.015,0.0575
140,0.0125,0.055
141,0.0125,0.0475
142,0.015,0.07
143,0.0175,0.06
144,0.02,0.055
145,0.02,0.0675
146,0.005,0.045
147,0.02,0.0475
148,0.0125,0.0625
149,0.005,0.075
150,0.0075,0.055
151,0.0125,0.0625
152,0.0125,0.04
153,0.0125,0.065
154,0.015,0.06
155,0.005,0.04
156,0.0225,0.0375
157,0.015,0.0525
158,0.025,0.0575
159,0.03,0.0425
160,0.015,0.035
161,0.0125,0.0475
162,0.0075,0.0425
163,0.0125,0.0425
164,0.0175,0.0525
165,0.01,0.06
166,0.0075,0.0475
167,0.0125,0.0475
168,0.0075,0.05
169,0.01,0.0525
170,0.01,0.045
171,0.0125,0.08
172,0.0075,0.095
173,0.015,0.0875
174,0.01,0.08
175,0.01,0.075
176,0.0125,0.06
177,0.01,0.0725
178,0.0075,0.07
179,0.0025,0.0525
180,0.01,0.0575
181,0.01,0.055
182,0.015,0.0375
183,0.02,0.055
184,0.01,0.0575
185,0.015,0.065
186,0.0125,0.0575
187,0.02,0.0725
188,0.0075,0.07
189,0.015,0.05
190,0.0175,0.075
191,0.0175,0.0575
192,0.0225,0.0725
193,0.0225,0.06
194,0.0075,0.055
195,0.0125,0.07
196,0.0225,0.0725
197,0.015,0.06
198,0.0175,0.065
199,0.015,0.04
200,0.02,0.06
201,0.0275,0.0775
202,0.0325,0.095
203,0.025,0.0975
204,0.0225,0.055
205,0.02,0.07
206,0.015,0.0725
207,0.015,0.06
208,0.015,0.055
209,0.0125,0.06
210,0.0225,0.06
211,0.015,0.0725
212,0.025,0.0625
213,0.0175,0.06
214,0.025,0.0575
215,0.015,0.075
216,0.0225,0.065
217,0.0225,0.06
218,0.025,0.0425
219,0.02,0.0575
220,0.01,0.0675
221,0.025,0.0625
222,0.0125,0.065
223,0.0175,0.06
224,0.01,0.0625
225,0.02,0.085
226,0.02,0.0775
227,0.0125,0.065
228,0.015,0.085
229,0.0125,0.06
230,0.005,0.11
231,0.0175,0.0825
232,0.0175,0.06
233,0.005,0.055
234,0.0125,0.0825
235,0.0125,0.07
236,0.0125,0.0625
237,0.01,0.0725
238,0.0125,0.0825
239,0.015,0.07
240,0.01,0.06
241,0.0075,0.09
242,0.0175,0.095
243,0.0175,0.0875
244,0.02,0.06
245,0.0075,0.0625
246,0.01,0.0625
247,0.0175,0.07
248,0.0125,0.07
249,0.0175,0.0525
250,0.025,0.07
251,0.0175,0.0675
252,0.01,0.06
253,0.015,0.0825
254,0.0125,0.07
255,0.0075,0.0825
256,0.0175,0.08
257,0.0225,0.0675
258,0.015,0.0875
259,0.0275,0.085
260,0.03,0.085
261,0.01,0.0675
262,0.015,0.055
263,0.01,0.0875
264,0.02,0.11
265,0.0275,0.0775
266,0.01,0.0825
267,0.0075,0.0675
268,0.0075,0.1
269,0.0225,0.09
270,0.03,0.0925
271,0.0175,0.09
272,0.0175,0.09
273,0.0225,0.1025
274,0.015,0.0875
275,0.02,0.085
276,0.0225,0.09
277,0.025,0.085
278,0.0225,0.0675
279,0.015,0.095
280,0.015,0.07
281,0.02,0.08
282,0.0225,0.0625
283,0.0075,0.09
284,0.0225,0.0975
285,0.0175,0.0975
286,0.0175,0.095
287,0.025,0.0825
288,0.025,0.085
289,0.0225,0.0625
290,0.025,0.0875
291,0.0225,0.0825
292,0.0175,0.0775
293,0.0225,0.0975
294,0.015,0.0875
295,0.015,0.075
296,0.01,0.07
297,0.02,0.07
298,0.0175,0.07
299,0.025,0.0925
300,0.025,0.0875
301,0.015,0.075
302,0.015,0.09
303,0.0225,0.09
304,0.01,0.08
305,0.015,0.0975
306,0.0225,0.075
307,0.02,0.0725
308,0.02,0.1025
309,0.02,0.08
310,0.0175,0.085
311,0.025,0.095
312,0.02,0.085
313,0.0175,0.0725
314,0.02,0.0925
315,0.0175,0.11
316,0.0225,0.0975
317,0.02,0.1075
318,0.0275,0.09
319,0.0275,0.08
320,0.0125,0.1
321,0.02,0.0775
322,0.0175,0.07
323,0.0225,0.095
324,0.03,0.0825
325,0.03,0.0925
326,0.0175,0.1275
327,0.0125,0.0875
328,0.01,0.0725
329,0.0125,0.0925
330,0.0175,0.07
331,0.0125,0.0875
332,0.02,0.0775
333,0.02,0.0725
334,0.0225,0.09
335,0.02,0.0525
336,0.0275,0.0925
337,0.0275,0.0775
338,0.02,0.1125
339,0.0225,0.065
340,0.0225,0.0725
341,0.0125,0.0825
342,0.0175,0.06
343,0.0175,0.0825
344,0.0325,0.09
345,0.0325,0.1175
346,0.0175,0.085
347,0.015,0.0725
348,0.0075,0.095
349,0.02,0.0875
350,0.035,0.08
351,0.015,0.075
352,0.025,0.125
353,0.0175,0.09
354,0.0275,0.08
355,0.035,0.095
356,0.0175,0.1125
357,0.0125,0.085
358,0.0125,0.085
359,0.0325,0.1125
360,0.0275,0.1
361,0.02,0.0775
362,0.025,0.08
363,0.035,0.0875
364,0.0475,0.1125
365,0.0275,0.0975
366,0.025,0.11
367,0.0275,0.0925
368,0.025,0.09
369,0.0225,0.08
370,0.02,0.07
371,0.01,0.0775
372,0.03,0.105
373,0.03,0.0725
374,0.025,0.0875
375,0.0125,0.1
376,0.03,0.095
377,0.02,0.1475
378,0.0275,0.1275
379,0.0275,0.0875
380,0.0175,0.085
381,0.015,0.0725
382,0.02,0.075
383,0.0325,0.1225
384,0.0225,0.1125
385,0.02,0.0825
386,0.0175,0.0925
387,0.01,0.09
388,0.025,0.1125
389,0.0325,0.095
390,0.025,0.1175
391,0.035,0.115
392,0.025,0.1
393,0.0325,0.1125
394,0.02,0.12
395,0.015,0.13
396,0.0325,0.075
397,0.0325,0.07
398,0.02,0.0625
399,0.03,0.11
400,0.0225,0.0925
401,0.0325,0.0825
402,0.035,0.1075
403,0.0375,0.105
404,0.025,0.095
405,0.02,0.085
406,0.025,0.08
407,0.0375,0.1025
408,0.03,0.0925
409,0.0375,0.1025
410,0.0225,0.115
411,0.0175,0.135
412,0.0325,0.1175
413,0.0375,0.11
414,0.0275,0.1125
415,0.0125,0.0975
416,0.0425,0.085
417,0.0425,0.105
418,0.035,0.075
419,0.0375,0.0925
420,0.035,0.085
421,0.0225,0.0875
422,0.035,0.09
423,0.03,0.1025
424,0.025,0.1325
425,0.0275,0.1175
426,0.02,0.08
427,0.0325,0.095
428,0.035,0.1275
429,0.0375,0.125
430,0.035,0.085
431,0.0475,0.0875
432,0.0425,0.085
433,0.03,0.1
434,0.02,0.105
435,0.02,0.0925
436,0.0275,0.1075
437,0.0175,0.0975
438,0.03,0.095
439,0.0425,0.12
440,0.035,0.1175
441,0.0425,0.11
442,0.035,0.09
443,0.03,0.1
444,0.03,0.1125
445,0.0275,0.12
446,0.0225,0.09
447,0.015,0.0925
448,0.025,0.0825
449,0.0225,0.0875
450,0.0125,0.115
451,0.0275,0.115
452,0.0375,0.1175
453,0.035,0.09
454,0.025,0.1125
455,0.0225,0.1225
456,0.02,0.1125
457,0.035,0.1
458,0.02,0.105
459,0.0375,0.095
460,0.03,0.09
461,0.0225,0.1075
462,0.025,0.12
463,0.0275,0.1025
464,0.04,0.11
465,0.0425,0.1175
466,0.03,0.1175
467,0.03,0.1275
468,0.0325,0.1075
469,0.0275,0.1075
470,0.0275,0.1325
471,0.02,0.1075
472,0.03,0.1075
473,0.0375,0.115
474,0.03,0.0825
475,0.0275,0.0825
476,0.0225,0.105
477,0.0275,0.1175
478,0.02,0.105
479,0.045,0.0675
480,0.03,0.105
481,0.0425,0.11
482,0.0175,0.0725
483,0.0325,0.1325
484,0.0325,0.1275
485,0.03,0.135
486,0.0275,0.105
487,0.0425,0.1175
488,0.0375,0.075
489,0.04,0.1175
490,0.0425,0.1225
491,0.0325,0.095
492,0.03,0.1475
493,0.02,0.14
494,0.0375,0.1275
495,0.035,0.13
496,0.02,0.105
497,0.0325,0.08
498,0.0275,0.1175
499,0.03,0.0825
500,0.02,0.1075
501,0.045,0.0975
502,0.05,0.1025
503,0.0625,0.12
504,0.0275,0.1125
505,0.0325,0.1175
